,Newspaper,Year,Faces
253,GDL,1882,0
254,GDL,1882,0
255,GDL,1882,0
256,GDL,1882,0
257,GDL,1882,0
258,GDL,1887,0
259,GDL,1887,0
260,GDL,1887,0
261,GDL,1887,0
262,GDL,1887,0
263,GDL,1887,1
264,GDL,1887,0
265,GDL,1887,0
266,GDL,1887,0
267,GDL,1887,0
268,GDL,1887,0
269,GDL,1887,0
270,GDL,1892,0
271,GDL,1892,0
272,GDL,1892,0
273,GDL,1892,0
274,GDL,1892,0
275,GDL,1892,0
276,GDL,1892,0
277,GDL,1892,1
278,GDL,1892,0
279,GDL,1892,0
280,GDL,1892,0
281,GDL,1892,0
282,GDL,1897,0
283,GDL,1897,0
284,GDL,1897,0
285,GDL,1897,0
286,GDL,1897,0
287,GDL,1897,0
288,GDL,1897,0
289,GDL,1897,0
290,GDL,1897,0
291,GDL,1897,0
292,GDL,1897,0
293,GDL,1897,0
294,GDL,1897,0
295,GDL,1897,0
296,GDL,1902,0
297,GDL,1902,0
298,GDL,1902,0
299,GDL,1902,0
300,GDL,1902,0
301,GDL,1902,0
302,GDL,1902,0
303,GDL,1902,0
304,GDL,1902,0
305,GDL,1902,0
306,GDL,1902,0
307,GDL,1902,0
308,GDL,1902,0
309,GDL,1902,1
310,GDL,1902,0
311,GDL,1902,0
312,GDL,1907,0
313,GDL,1907,0
314,GDL,1907,0
315,GDL,1907,0
316,GDL,1907,1
317,GDL,1907,0
318,GDL,1907,1
319,GDL,1907,0
320,GDL,1907,0
321,GDL,1907,0
322,GDL,1907,1
323,GDL,1907,0
324,GDL,1912,0
325,GDL,1912,0
326,GDL,1912,0
327,GDL,1912,0
328,GDL,1912,0
329,GDL,1912,1
330,GDL,1912,0
331,GDL,1912,0
332,GDL,1912,0
333,GDL,1912,0
334,GDL,1912,0
335,GDL,1912,0
336,GDL,1912,0
337,GDL,1912,0
338,GDL,1912,0
339,GDL,1912,0
340,GDL,1917,0
341,GDL,1917,0
342,GDL,1917,1
343,GDL,1917,0
344,GDL,1917,0
345,GDL,1917,0
346,GDL,1917,0
347,GDL,1917,0
348,GDL,1917,1
349,GDL,1917,0
350,GDL,1917,0
351,GDL,1917,0
352,GDL,1917,1
353,GDL,1917,0
354,GDL,1922,0
355,GDL,1922,0
356,GDL,1922,0
357,GDL,1922,0
